product_code,product_name,section,page,record_type,requirement_scope,property,astm_method,minimum,maximum,note_ref,text,review_status
A,CBOB regular (87 octane),3.3,10,context,All / see section,,,,,,3.3.1,Source text
A,CBOB regular (87 octane),3.3,10,context,All / see section,,,,,,This CBOB may not be combined with any other CBOB except CBOB having the,Source text
A,CBOB regular (87 octane),3.3,10,context,All / see section,,,,,,same requirement for oxygenate type and amount.,Source text
A,CBOB regular (87 octane),3.3,10,context,All / see section,,,,,,All parameters must be met after blending with denatured fuel ethanol unless noted.,Source text
A,CBOB regular (87 octane),3.3,10,context,All / see section,,,,,,ALL A GRADE REQUIREMENTS (SEGREGATED AND FUNGIBLE),Source text
A,CBOB regular (87 octane),3.3,10,context,All / see section,,,,,,ASTM Test Test Results,Source text
A,CBOB regular (87 octane),3.3,10,specification,All / see section,Octane RON,D2699 Report,,,,Octane RON D2699 Report,Positionally extracted; verify complex/overprinted tables
A,CBOB regular (87 octane),3.3,10,specification,All / see section,MON,D2700 82.0,,,,MON D2700 82.0,Positionally extracted; verify complex/overprinted tables
A,CBOB regular (87 octane),3.3,10,specification,All / see section,(R+M)/2,87.0,,,,(R+M)/2 87.0,Positionally extracted; verify complex/overprinted tables
A,CBOB regular (87 octane),3.3,10,specification,All / see section,"Oxygen Content, weight %",D5599,0.1,"1,2,6",,"Oxygen Content, weight % D5599 0.1 1,2,6",Positionally extracted; verify complex/overprinted tables
A,CBOB regular (87 octane),3.3,10,specification,All / see section,RVP (psi),D5191,,3,,RVP (psi) D5191 3,Positionally extracted; verify complex/overprinted tables
A,CBOB regular (87 octane),3.3,10,specification,All / see section,Grades,,,,,Grades,Positionally extracted; verify complex/overprinted tables
A,CBOB regular (87 octane),3.3,10,specification,All / see section,"A2,2A",,10.0,,,"A2,2A 10.0",Positionally extracted; verify complex/overprinted tables
A,CBOB regular (87 octane),3.3,10,specification,All / see section,"A3,3A",,12.5,,,"A3,3A 12.5",Positionally extracted; verify complex/overprinted tables
A,CBOB regular (87 octane),3.3,10,specification,All / see section,"A4,4A",,14.5,,,"A4,4A 14.5",Positionally extracted; verify complex/overprinted tables
A,CBOB regular (87 octane),3.3,10,specification,All / see section,"A5,5A",,15.5,,,"A5,5A 15.5",Positionally extracted; verify complex/overprinted tables
A,CBOB regular (87 octane),3.3,10,specification,All / see section,Gasoline designed for gasoline-ethanol,blends in,accordance with,40 CFR [W] 80.27(d)(2),1090 Subpart N,Gasoline designed for gasoline-ethanol blends in accordance with 40 CFR [W] 80.27(d)(2) 1090 Subpart N,Positionally extracted; verify complex/overprinted tables
A,CBOB regular (87 octane),3.3,10,specification,All / see section,Suitable for the special RVP,provisions for ethanol,blends that,contain 9 and 10 vol % ethanol.,,Suitable for the special RVP provisions for ethanol blends that contain 9 and 10 vol % ethanol.,Positionally extracted; verify complex/overprinted tables
A,CBOB regular (87 octane),3.3,10,specification,All / see section,The use of this gasoline,to manufacture a gasoline-ethanol,blend,containing anything other,than between 9,The use of this gasoline to manufacture a gasoline-ethanol blend containing anything other than between 9,Positionally extracted; verify complex/overprinted tables
A,CBOB regular (87 octane),3.3,10,specification,All / see section,and 10 volume percent ethanol,may cause a summertime,RVP,violation.,,and 10 volume percent ethanol may cause a summertime RVP violation.,Positionally extracted; verify complex/overprinted tables
A,CBOB regular (87 octane),3.3,10,note,All / see section,,,,,,Heavy Metals are not allowed to be present.,Source text
A,CBOB regular (87 octane),3.3,10,note,All / see section,,,,,,Additive requirements/restrictions - refer to section 3.2.,Source text
A,CBOB regular (87 octane),3.3,10,note,All / see section,,,,,,"This is a base gasoline, not for sale to the ultimate consumer.",Source text
A,CBOB regular (87 octane),3.3,10,note,All / see section,,,,,,Any gasoline exhibiting an offensive odor and/or poses a personal health hazard will not be accepted for shipment.,Source text
A,CBOB regular (87 octane),3.3,10,note,All / see section,,,,,,Any gasoline containing more than 0.50 wt. % of dicyclopentadiene will not be accepted for shipment.,Source text
A,CBOB regular (87 octane),3.3,10,note,All / see section,,,,,,The referee method will be based on a gas chromatograph test.,Source text
A,CBOB regular (87 octane),3.3,10,note,All / see section,,,,,,Delivery test results may vary by the smaller of ASTM reproducibility for a given test or any test tolerance as allowed by,Source text
