Product,Region,Country,Operating Company,Location,Source,Capacity (kt),Latitude,Longitude,Coordinate Status
Benzene,North America,Canada,Shell Chemicals,Scotford,HDA,205.0,53.8,-113.09,validated
Benzene,North America,Canada,Suncor,Montreal,HDA,164.0,45.5,-73.57,validated
Benzene,North America,Mexico,Pemex,La Cangrejera,HDA,114.0,18.11389,-94.418,validated
Benzene,North America,US,Dow,Plaquemine,HDA,341.0,30.29,-91.23,validated
Benzene,North America,US,Phillips 66,Belle Chasse,HDA,214.0,29.85,-89.99,validated
Benzene,Latin America and Caribbean,Argentina,Pampa Energia,San Lorenzo,HDA,23.0,-32.75,-60.73,validated
Benzene,Latin America and Caribbean,Argentina,YPF,Ensenada,HDA,12.0,-34.86,-57.91,validated
Benzene,Latin America and Caribbean,Brazil,Braskem,Sao Paulo,HDA,27.0,-23.55,-46.63,validated
Benzene,Latin America and Caribbean,Brazil,Braskem,Triunfo [RS],HDA,40.0,,,needs coordinate validation
Benzene,Latin America and Caribbean,Venezuela,Pequiven,El Palito,HDA,40.0,10.47759,-68.11046,validated
Benzene,Western Europe,Germany,BASF,Mannheim,HDA,160.0,,,needs coordinate validation
Benzene,Western Europe,Germany,BP Europa,Gelsenkirchen,HDA,0.0,,,needs coordinate validation
Benzene,Central and Eastern Europe,Serbia,NIS,Pancevo,HDA,40.0,44.87,20.64,validated
Benzene,Central and Eastern Europe,Slovakia,Slovnaft,Bratislava,HDA,50.0,48.15,17.11,validated
Benzene,Central and Eastern Europe,Ukraine,Ukrtatnafta,Kremenchug,HDA,50.0,49.07,33.42,validated
Benzene,Middle East,Iran,Esfahan Petrochemical,Esfahan,HDA,26.0,,,needs coordinate validation
Benzene,Middle East,Iran,Faravaresh Bandar Imam,Bandar Imam,HDA,149.0,30.44,49.08,validated
Benzene,Middle East,Iraq,Aradet,Bayji,HDA,20.0,34.9292,43.4888,validated
Benzene,Middle East,Saudi Arabia,SASREF,Al Jubail,HDA,250.0,27.0,49.66,validated
Benzene,Northeast Asia,China,Sinopec Beijing Yanshan Petrochemical,Beijing,HDA,40.0,,,needs coordinate validation
Benzene,Northeast Asia,Japan,Fuji Oil,Chiba,HDA,130.0,,,needs coordinate validation
Benzene,Northeast Asia,Japan,Idemitsu Kosan,Chiba,HDA,250.0,,,needs coordinate validation
Benzene,Northeast Asia,Japan,JXTG Nippon Oil & Energy,Mizushima,HDA,100.0,,,needs coordinate validation
Benzene,Northeast Asia,Japan,Maruzen Petrochemical,Chiba,HDA,100.0,,,needs coordinate validation
Benzene,Northeast Asia,Japan,Mitsubishi Chemical,Kashima,HDA,262.0,,,needs coordinate validation
Benzene,Northeast Asia,South Korea,Hanwha Total,Daesan,HDA,75.0,,,needs coordinate validation
Benzene,Northeast Asia,South Korea,Lotte Chemical,Daesan,HDA,160.0,,,needs coordinate validation
Benzene,Northeast Asia,South Korea,YNCC,Yeosu,HDA,74.0,,,needs coordinate validation
Phenol,South Asia,India,Gujarat Industrial Development Corporation,Vadodara,Toluene,15.0,,,needs coordinate validation
Phenol,Northeast Asia,Japan,JXTG Nippon Oil & Energy,Kitakyushu,Toluene,0.0,,,needs coordinate validation
Purified Terephthalic Acid,North America,Canada,Indorama,Montreal, ,650.0,45.5,-73.57,validated
Purified Terephthalic Acid,North America,Mexico,Alpek,Altamira, ,1000.0,,,needs coordinate validation
Purified Terephthalic Acid,North America,Mexico,Alpek,Costaleacaque, ,610.0,,,needs coordinate validation
Purified Terephthalic Acid,North America,US,BP,Cooper River, ,1478.0,,,needs coordinate validation
Purified Terephthalic Acid,North America,US,Eastman Chemical,Kingsport, ,229.0,,,needs coordinate validation
Purified Terephthalic Acid,North America,US,Alpek,Columbia [SC], ,600.0,,,needs coordinate validation
Purified Terephthalic Acid,North America,US,Indorama Ventures,Decatur [AL], ,1050.0,,,needs coordinate validation
Purified Terephthalic Acid,North America,US,Corpus Christi Polymers,Corpus Christi, ,1300.0,,,needs coordinate validation
Purified Terephthalic Acid,Latin America and Caribbean,Brazil,Alpek,Suape, ,1000.0,,,needs coordinate validation
Purified Terephthalic Acid,Western Europe,Belgium,BP,Geel, ,1374.0,,,needs coordinate validation
Purified Terephthalic Acid,Western Europe,Netherlands,Indorama,Rotterdam, ,700.0,,,needs coordinate validation
Purified Terephthalic Acid,Western Europe,Portugal,Indorama Ventures,Sines, ,700.0,,,needs coordinate validation
Purified Terephthalic Acid,Western Europe,Spain,Indorama Ventures,San Roque, ,600.0,,,needs coordinate validation
Purified Terephthalic Acid,Central and Eastern Europe,Poland,PKN Orlen,Wloclawek, ,600.0,,,needs coordinate validation
Purified Terephthalic Acid,Russia and Central Asia,Russia,Polief,Blagoveshchensk, ,350.0,,,needs coordinate validation
Purified Terephthalic Acid,Russia and Central Asia,Russia,SafPET,Nizhnekamsk, ,210.0,,,needs coordinate validation
Purified Terephthalic Acid,Middle East,Iran,Shahid Tondguyan Petrochemical,Bandar Imam, ,700.0,30.44,49.08,validated
Purified Terephthalic Acid,Middle East,Qatar,Qatar Petroleum,Ras Laffan, ,1200.0,25.92,51.53,validated
