Region,Country,Location,Plant Name,Company Name,Capacity (million tpy)
North America,United States,"Donaldsonville, Louisiana",Donaldsonville Nitrogen Complex,CF Industries,3.93
North America,United States,"Port Neal, Iowa",Port Neal Nitrogen Complex,CF Industries,1.12
North America,United States,"Verdigris, Oklahoma",Verdigris Nitrogen Complex,CF Industries,1.1
North America,United States,"Waggaman, Louisiana",Waggaman Ammonia Plant,CF Industries,0.8
North America,United States,"Yazoo City, Mississippi",Yazoo City Nitrogen Complex,CF Industries,0.52
North America,United States,"Woodward, Oklahoma",Woodward Nitrogen Complex,CF Industries,0.44
North America,United States,"Texas City, Texas",Gulf Coast Ammonia,Yara International,1.3
North America,United States,"Beaumont, Texas",Beaumont New Ammonia Plant,Woodside Energy,1.1
North America,United States,"Enid, Oklahoma",Enid Fertilizer Complex,Koch Fertilizer,1
North America,United States,"Fort Dodge, Iowa",Iowa Fertilizer Plant,OCI / Iowa Fertilizer Company,0.85
North America,United States,"Borger, Texas",Borger Nitrogen Operations,Nutrien,0.5
North America,United States,"Augusta, Georgia",Augusta Nitrogen Facility,Nutrien,0.5
North America,Canada,"Medicine Hat, Alberta",Medicine Hat Nitrogen Complex,CF Industries,1.12
North America,Canada,"Courtright, Ontario",Courtright Nitrogen Complex,CF Industries,0.45
North America,Canada,"Redwater, Alberta",Redwater Nitrogen Operations,Nutrien,0.95
North America,Canada,"Carseland, Alberta",Carseland Nitrogen Operations,Nutrien,0.7
Latin America,Trinidad and Tobago,Point Lisas Industrial Estate,Point Lisas Ammonia Complex,Nutrien,1.2
Latin America,Trinidad and Tobago,Point Lisas Industrial Estate,Point Lisas Ammonia Plants,Proman,2
Latin America,Trinidad and Tobago,Point Lisas Industrial Estate,Tringen Ammonia Complex,Tringen / National Enterprises,0.95
Latin America,Brazil,"Camaçari, Bahia",Camaçari Nitrogen Fertilizer Plant,Petrobras,0.47
Latin America,Brazil,"Laranjeiras, Sergipe",Sergipe Nitrogen Fertilizer Plant,Petrobras,0.66
Latin America,Argentina,"Bahía Blanca, Buenos Aires",Profertil Bahía Blanca,Profertil,0.79
Latin America,Venezuela,"Morón, Carabobo",Morón Petrochemical Complex,Pequiven,0.6
Europe,Netherlands,"Sluiskil, Zeeland",Yara Sluiskil,Yara International,1.8
Europe,Netherlands,"Geleen, Limburg",OCI Nitrogen Geleen,OCI Global,1.1
Europe,Germany,Ludwigshafen,Ludwigshafen Ammonia Complex,BASF,0.88
Europe,Germany,"Piesteritz, Saxony-Anhalt",SKW Piesteritz Ammonia Plant,SKW Stickstoffwerke Piesteritz,0.7
Europe,Poland,Puławy,Puławy Fertilizer Complex,Grupa Azoty,1.2
Europe,Poland,Police,Police Fertilizer Complex,Grupa Azoty,0.5
Europe,Poland,Kędzierzyn-Koźle,Kędzierzyn Fertilizer Complex,Grupa Azoty,0.53
Europe,Norway,"Porsgrunn, Herøya",Yara Porsgrunn,Yara International,0.5
Europe,United Kingdom,"Billingham, Teesside",Billingham Ammonia Plant,CF Fertilisers UK,0.4
Europe,Spain,"Palos de la Frontera, Huelva",Palos Ammonia Plant,Fertiberia,0.4
Europe,Italy,Ferrara,Ferrara Ammonia Plant,Yara Italia,0.6
Russia & CIS,Russia,"Togliatti, Samara Oblast",TogliattiAzot Ammonia Complex,TogliattiAzot,3
Russia & CIS,Russia,Veliky Novgorod,Acron Novgorod Ammonia Complex,Acron,1.1
Russia & CIS,Russia,"Cherepovets, Vologda Oblast",Cherepovets Ammonia Complex,PhosAgro,1.15
Russia & CIS,Russia,"Berezniki, Perm Krai",Azot Berezniki,Uralchem,1.2
Russia & CIS,Russia,"Novomoskovsk, Tula Oblast",NAK Azot Novomoskovsk,EuroChem,1
Russia & CIS,Russia,"Kingisepp, Leningrad Oblast",EuroChem Northwest Ammonia,EuroChem,1
Russia & CIS,Uzbekistan,Navoiy,Navoiyazot Ammonia Complex,Navoiyazot,0.66
Russia & CIS,Turkmenistan,"Garabogaz, Balkan",Garabogaz Ammonia-Urea Complex,Turkmenhimiya,0.66
Russia & CIS,Kazakhstan,"Aktau, Mangystau",KazAzot Ammonia Plant,KazAzot,0.4
Middle East,Qatar,Mesaieed Industrial City,QAFCO Ammonia Complex,QAFCO / Industries Qatar,3.8
Middle East,Qatar,Mesaieed Industrial City,QAFCO Ammonia 7,QatarEnergy / QAFCO,1.2
Middle East,Saudi Arabia,Jubail Industrial City,SABIC Agri-Nutrients Ammonia Complex,SABIC Agri-Nutrients,2.3
Middle East,Saudi Arabia,Ras Al-Khair,Ma'aden Phosphate Ammonia Complex,Ma'aden,3.3
Middle East,Oman,Sur Industrial Estate,OMIFCO Ammonia Complex,OMIFCO,1.15
Middle East,Oman,Salalah,Salalah Ammonia Plant,OQ / Salalah Methanol Company,0.37
Middle East,United Arab Emirates,"Ruwais, Abu Dhabi",Fertiglobe Ruwais Ammonia Complex,Fertiglobe,1.2
Middle East,Bahrain,Sitra Industrial Area,GPIC Ammonia Plant,Gulf Petrochemical Industries Company,0.4
Middle East,Kuwait,Shuaiba Industrial Area,PIC Ammonia Complex,Petrochemical Industries Company,0.66
Middle East,Iran,"Assaluyeh, Bushehr",Pardis Petrochemical Ammonia Complex,Pardis Petrochemical,2.04
Middle East,Iran,"Bandar Imam, Khuzestan",Razi Petrochemical Ammonia Complex,Razi Petrochemical,1.34
Middle East,Iran,"Assaluyeh, Bushehr",Shiraz / Southern Pars Ammonia Complex,Iranian fertilizer producers,0.68
Africa,Algeria,Arzew,Sorfert Algeria,Sorfert Algeria,1.6
Africa,Algeria,Arzew,AOA Ammonia Complex,Fertial,1.1
Africa,Egypt,Damietta,MOPCO Ammonia Complex,Misr Fertilizers Production Company,1.2
Africa,Egypt,"Abu Qir, Alexandria",Abu Qir Fertilizers Ammonia Complex,Abu Qir Fertilizers,1.16
Africa,Egypt,"Ain Sokhna, Suez",Egypt Basic Industries Ammonia,EBIC / Fertiglobe,0.73
Africa,Egypt,Helwan,Helwan Fertilizer Ammonia Plant,Helwan Fertilizer Company,0.4
Africa,Nigeria,"Onne, Rivers State",Indorama Eleme Fertilizer Ammonia,Indorama Eleme Fertilizer & Chemicals,0.77
Africa,Nigeria,"Lekki, Lagos",Dangote Fertilizer Ammonia Complex,Dangote Fertilizer,1.1
Africa,Morocco,Jorf Lasfar,Jorf Lasfar Ammonia / Fertilizer Complex,OCP Group,0.7
Africa,South Africa,"Secunda, Mpumalanga",Secunda Ammonia Plant,Sasol,0.55
South Asia,India,"Aonla, Uttar Pradesh",IFFCO Aonla Ammonia Complex,IFFCO,1.1
South Asia,India,"Phulpur, Uttar Pradesh",IFFCO Phulpur Ammonia Complex,IFFCO,0.95
South Asia,India,"Kalol, Gujarat",IFFCO Kalol Ammonia Plant,IFFCO,0.36
South Asia,India,"Hazira, Gujarat",KRIBHCO Hazira Ammonia Plant,KRIBHCO,0.73
South Asia,India,"Gadepan, Rajasthan",Gadepan Ammonia Complex,Chambal Fertilisers,1.2
South Asia,India,"Panipat, Haryana",Panipat Ammonia Plant,National Fertilizers,0.51
South Asia,India,"Vijaipur, Madhya Pradesh",Vijaipur Ammonia Complex,National Fertilizers,1.15
South Asia,India,"Kakinada, Andhra Pradesh",Kakinada Fertilizer Complex,Nagarjuna Fertilizers,0.8
South Asia,India,"Jagatsinghpur, Odisha",Paradeep Ammonia-Urea Complex,IFFCO,0.7
South Asia,India,"Gorakhpur, Uttar Pradesh",Gorakhpur Fertilizer Plant,HURL,0.73
