Region,Country,State/Province,Refiner,Refinery,Location,Date of Commissioning,CDU bpsd,VDU bpsd,Reformer bpsd,Isomerization bpsd,Alkylation bpsd,FCC bpsd,Coker bpsd,Hydrotreater bpsd
Africa,Angola,Cabinda Province,Sonangol/Gemcorp Capital,Cabinda,Cabinda,,,,,,,,,
Africa,Angola,Benguela Province,Sonangol,Lobito,Lobito,N/A,,,,,,,,
Africa,Angola,Luanda Province,Sonangol,Luanda,Luanda,1958,65000,2500,1900,,,,,6600
Africa,Angola,Luanda Province,Sonangol,Luanda (new),Luanda (new),N/A,,,,,,,,
Africa,Angola,Zaire Province,Sonangol,Soyo,Soyo,N/A,,,,,,,,
Africa,Cameroon,Southwest,Societe Nationale de Raffinage (SoNaRa),Cape Limboh Limbe,Cape Limboh Limbe,1981,,,,,,,,
Africa,Chad,N'Djamena,CNPC/SHT,"Djamaya, Ndjamena","Djamaya, Ndjamena",2011,20000,,,,,,,
Africa,Congo (Brazzaville),Pointe-Noire,Government,Fouta,Fouta,N/A,,,,,,,,
Africa,Congo (Brazzaville),Pointe-Noire,Coraf,Pointe-Noire,Pointe-Noire,1976,21000,8000,2000,,,,,3500
Africa,Equatorial Guinea,Bioko Norte,Government/Marathon Oil,"Punta Europa, Malabo","Punta Europa, Malabo",N/A,,,,,,,,
Africa,Gabon,Ogooué-Maritime,Ste. Gabonaise de Raffinage (Sogara),Port Gentil,Port Gentil,1967,23000,,2000,,,,,9430
Africa,Ghana,Accra,Tema Oil Refinery Co. Ltd. (TOR),Accra,Accra,1963,45000,,6500,,,14000,,
Africa,Ivory Coast,Abidjan,Societe Ivoirienne de Raffinage,Abidjan,Abidjan,1965,76000,23990,14000,,,,,27300
Africa,Ivory Coast,Abidjan,Societe Multinationale Bitume (SMB),Abidjan (SMB),Abidjan (SMB),2000,10500,5000,,,,,,
Africa,Kenya,Mombasa County - coast,Kenya Petroleum Refineries Ltd.,Mombasa,Mombasa,1963,,,,,,,,
Africa,Madagascar,,Solima,Galana,Galana,Closed,,,,,,,,
Africa,Niger,Zinder,Niger Petroleum / CNPC,Zinder,Zinder,2011,20000,,4000,,,,,10000
Africa,Nigeria,Bayelsa State,Azikel Petroleum,Bayelsa state,Bayelsa state,N/A,,,,,,,,
Africa,Nigeria,Imo,Waltersmith Refining & Petrochemical,Imo,Imo,2020,5000,,,,,,,
Africa,Nigeria,Kaduna State,NNPC,Kaduna,Kaduna,1980,,,,,,,,
Africa,Nigeria,Lagos State,Dangote Group,"Lekki, Lagos","Lekki, Lagos",2022,,,,,,,,
Africa,Nigeria,Niger Delta,Niger Delta Petroleum Resources,Niger Delta,Niger Delta,N/A,,,,,,,,
Africa,Nigeria,Edo state,AIPCC Energy,Ologbo (AIPCC),Ologbo (AIPCC),2020,36000,,,,,,,
Africa,Nigeria,Rivers State,NNPC,Port Harcourt,Port Harcourt,1965,,,,,,,,
Africa,Nigeria,Delta State,NNPC,Warri,Warri,1980,,,,,,,,
Africa,Senegal,Dakar,Ste. Middle East & Africaine de Raffinage (SAR),M'Bao (Dakar),M'Bao (Dakar),1963,35000,7160,2700,,,,,2700
Africa,South Africa,Western Cape,Astron Energy (Glencore),Cape Town,Cape Town,1965,,,,,,,,
Africa,South Africa,KwaZulu-Natal,Engen Petroleum,Durban (Engen),Durban (Engen),1954,,,,,,,,
Africa,South Africa,KwaZulu-Natal,Sapref (Shell-BP),Durban (Shell/BP),Durban (Shell/BP),1963,180000,70400,29000,,4000,35680,26800,100270
Africa,South Africa,Western Cape,PetroSA,Mossel Bay,Mossel Bay,1992,,,8200,6000,2400,,,23600
Africa,South Africa,KwaZulu-Natal,CEF/Saudi Aramco,Richards Bay,Richards Bay,N/A,,,,,,,,
Africa,South Africa,,Natref (Sasol-Total),Sasolburg,Sasolburg,1971,110000,34475,18000,3623,,25660,,24392
Africa,South Africa,Mpumalanga,Sasol,Secunda,Secunda,2000,,,,,,,,
Africa,South Sudan,Unity State,Nilepet/Safinat,Bentiu,Bentiu,2021,10000,,,,,,,
Africa,Sudan,Khartoum,CNPC,El Gily,El Gily,2000,,,3000,,,36000,44000,
Africa,Sudan,North Kurdufan,CNPC,El-Obeid,El-Obeid,2000,,,,,,,,
Africa,Sudan,Khartoum,Khartoum Oil Refinery (CNPC/Sudan Gov't),Khartoum (Al-Jaili),Khartoum (Al-Jaili),2000,100000,,,,,,,
Africa,Sudan,Red Sea State,CNPC,Port Sudan,Port Sudan,2000,,,,,,,,
Africa,Uganda,Western Uganda,Albertine Graben Refinery Consortium,Hoima,Hoima,2023+,,,,,,,,
Africa,Zambia,Copperbelt Province,Indeni Petroleum,"Bwana Nkubwa Area, Ndola","Bwana Nkubwa Area, Ndola",1973,24000,2280,5320,,,,,8550
Asia Pacific,Afghanistan,Balkh Province - north,Tofoil,Khairatan/Hairatan,Khairatan/Hairatan,2013,5000,,,,,,,
Asia Pacific,Australia,Victoria,ExxonMobil,Altona,Altona,1949,,,,,,,,
Asia Pacific,Australia,Queensland,BP,"Bulwer Island, Brisbane","Bulwer Island, Brisbane",1965,,,,,,,,
Asia Pacific,Australia,New South Wales,Shell,"Clyde, Sydney","Clyde, Sydney",1926,,,,,,,,
Asia Pacific,Australia,Victoria,Viva Energy (Vitol),Geelong,Geelong,1954,120000,9900,31000,8000,5000,40000,,113500
Asia Pacific,Australia,Western Australia,BP,Kwinana,Kwinana,1955,,,,,,,,
Asia Pacific,Australia,Queensland,Ampol,"Lytton, Brisbane","Lytton, Brisbane",1965,108600,,23239,,3621,36171,,73228
Asia Pacific,Bangladesh,Chittagong,Bangladesh Petroleum Corporation (BPC) - Eastern Refinery Ltd.,Chittagong,Chittagong,1968,33000,4000,1800,,,,,2000
Asia Pacific,Brunei,,Zhejiang Hengyi/Brunei government,Pulau Muara Besar,Pulau Muara Besar,2019,160000,,,26822,,43781,17808,72740
Asia Pacific,Brunei,Belait,Shell,Seria,Seria,1960,10000,,5700,,,,,
Asia Pacific,Cambodia,,Cambodian Petrochemical Co. Ltd. (CPC),Preah Sihanouk,Preah Sihanouk,N/A,,,,,,,,
Asia Pacific,China,Anhui,Sinopec,Anqing,Anqing,1977,180000,55000,44000,,8300,82000,30000,244350
Asia Pacific,China,Liaoning,Liaoning Huayou/Yutime Petrochemical,Anshan,Anshan,2000,130000,,,,,,,
Asia Pacific,China,Guangxi,Guangxi Beihai Taibang Energy,Beihai,Beihai,2000,24000,,,,,23000,,5000
Asia Pacific,China,Guangxi,Sinopec,Beihai (Sinopec),Beihai (Sinopec),2012,130000,,12000,,,34000,24000,64000
Asia Pacific,China,Shandong,Boxing Yongxin Chemical,Binzhou (Boxing Yongxin Chemical),Binzhou (Boxing Yongxin Chemical),2000,106000,,,,,36000,8000,71000
Asia Pacific,China,Shandong,CNOOC Bitumen (Binzhou),Binzhou (CNOOC),Binzhou (CNOOC),2000,60000,,,,,7000,20000,24000
Asia Pacific,China,Shandong,Chambroad Petrochemical (Jingbo) - Yiren Paper,Binzhou (Chambroad),Binzhou (Chambroad),2000,140000,70000,,,,50000,32000,67000
Asia Pacific,China,Shandong,Shandong Befar Binyang Fuel and Chemical/Gasification,Binzhou (Shandong Binyang),Binzhou (Shandong Binyang),2000,,,,,,,,
Asia Pacific,China,Shandong,Tianhong New Energy Chemical (Wanda Tianhong),Binzhou (Wanda Tianhong),Binzhou (Wanda Tianhong),2000,100000,100000,20000,,,37000,32000,56000
Asia Pacific,China,Shandong,Wudi Xinyue Chemical,Binzhou (Wudi Xinyue Chemical),Binzhou (Wudi Xinyue Chemical),2000,48000,,,,,12000,12000,9000
Asia Pacific,China,Shandong,Binzhou Jujiu Energy Science & Technology,Binzhou Jujiu Energy Science & Technology,Binzhou Jujiu Energy Science & Technology,N/A,,,,,,,,
Asia Pacific,China,Hebei,CNOOC Zhongjie,Cangzhou (CNOOC),Cangzhou (CNOOC),2000,100000,,,,,26000,,7000
Asia Pacific,China,Hebei,Hebei Dagang Petrochemical,Cangzhou (Dagang Petrochemical),Cangzhou (Dagang Petrochemical),2000,14000,,,,,6000,,
Asia Pacific,China,Hebei,Sinopec,Cangzhou (Sinopec),Cangzhou (Sinopec),1975,71000,,13000,,,24000,10000,16000
Asia Pacific,China,Hebei,Sinopec,Caofeidian (Sinopec),Caofeidian (Sinopec),Suspended,,,,,,,,
Asia Pacific,China,Hebei,Huatong Investment/Saudi Aramco/Sabic (called Mid-East Gulf Petrochemical),Caofeidian - Tangshan (Huatong/Saudi),Caofeidian - Tangshan (Huatong/Saudi),N/A,,,,,,,,
Asia Pacific,China,Hebei,Hebei Qianhai Petrochemical/Yihong Petrochemical,Caofeidian - Tangshan (Qianhai/Yihong),Caofeidian - Tangshan (Qianhai/Yihong),N/A,,,,,,,,
Asia Pacific,China,Hebei,Risun Petrochemical/Sinochem,Caofeidian - Tangshan (Risun),Caofeidian - Tangshan (Risun),2021+,,,,,,,,
Asia Pacific,China,Hebei,Hebei Xinhua United Petrochemical,Caofeidian - Tangshan (Xinhua),Caofeidian - Tangshan (Xinhua),N/A,,,,,,,,
Asia Pacific,China,Hebei/Fujian,Dalian Fujia Dahua,Caofeidian/Gulei,Caofeidian/Gulei,Proposed/Not approved,,,,,,,,
Asia Pacific,China,Jilin,Changchun Xinda Petrol Nong’an Petrochemical,Changchun,Changchun,2000,30000,,,,,,,10000
Asia Pacific,China,Hunan,Sinopec,"Changling, Yueyang","Changling, Yueyang",2000,160000,50000,29000,,,54150,,55000
Asia Pacific,China,Shaanxi,PetroChina,"Changqing, Xianyang","Changqing, Xianyang",2000,100000,44000,,,,16500,,
Asia Pacific,China,Liaoning,Hengli Petrochemical (Dalian),Changxing Island Industrial Development Zone,Changxing Island Industrial Development Zone,2019,400000,200000,234082,,8712,152000,,164932
Asia Pacific,China,Shandong,ChemChina,Changyi (ChemChina),Changyi (ChemChina),2000,130000,100000,24000,,7300,35000,18000,83000
Asia Pacific,China,Jiangsu,Jiangsu Jurong Petrochemical,Chenjiagang,Chenjiagang,2000,,,,,,20000,,
Asia Pacific,China,Chongqing,Chongqing Longhai Petrochemical,Chongqing,Chongqing,2017,20000,,,,,,,
Asia Pacific,China,Tianjin,PetroChina,Dagang,Dagang,2000,98000,45000,6000,,3700,32000,20000,19100
Asia Pacific,China,Liaoning,Dalian Jinyuan Petrochemical,Dalian,Dalian,2000,44000,,,,,,15000,
Asia Pacific,China,Liaoning,PetroChina,Dalian (PetroChina),Dalian (PetroChina),2000,410000,189775,58000,,10500,134000,,276700
Asia Pacific,China,Liaoning,Wepec (PetroChina),Dalian (Wepec),Dalian (Wepec),1990,200000,85500,14000,,2500,60000,,197700
